timestamp,source_ip,destination_ip,protocol,packet_size,src_port,dst_port,tcp_flags,ttl,http_host,http_uri,tls_sni,full_url
1748590608.222593000,192.168.209.199,192.168.209.48,6,66,44138,8000,0x0010,64,,,,
1748590608.224009000,192.168.209.199,192.168.209.48,6,66,44126,8000,0x0011,64,,,,
1748590608.224035000,192.168.209.48,192.168.209.199,6,66,8000,44126,0x0010,128,,,,
1748590608.224537000,192.168.209.48,192.168.209.199,6,66,8000,44126,0x0011,128,,,,
1748590608.227205000,192.168.209.199,192.168.209.48,6,74,44146,8000,0x0002,64,,,,
1748590608.227250000,192.168.209.48,192.168.209.199,6,74,8000,44146,0x0012,128,,,,
1748590608.230969000,192.168.209.199,192.168.209.48,6,66,44126,8000,0x0010,64,,,,
1748590608.262820000,192.168.209.199,192.168.209.48,6,66,44146,8000,0x0010,64,,,,
1748590608.262936000,192.168.209.199,192.168.209.48,6,284,44146,8000,0x0018,64,,,,
1748590608.262936000,192.168.209.199,192.168.209.48,6,112,44146,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.262990000,192.168.209.48,192.168.209.199,6,66,8000,44146,0x0010,128,,,,
1748590608.263131000,192.168.209.199,192.168.209.48,6,112,44146,8000,0x0018,64,,,,
1748590608.263150000,192.168.209.48,192.168.209.199,6,78,8000,44146,0x0010,128,,,,
1748590608.277447000,192.168.209.48,192.168.209.199,6,201,8000,44146,0x0018,128,,,,
1748590608.283673000,192.168.209.199,192.168.209.48,6,66,44146,8000,0x0010,64,,,,
1748590608.283696000,192.168.209.48,192.168.209.199,6,107,8000,44146,0x0018,128,,/login,,
1748590608.287914000,192.168.209.199,192.168.209.48,6,66,44146,8000,0x0010,64,,,,
1748590608.288839000,192.168.209.199,192.168.209.48,6,66,44138,8000,0x0011,64,,,,
1748590608.288868000,192.168.209.48,192.168.209.199,6,66,8000,44138,0x0010,128,,,,
1748590608.289090000,192.168.209.48,192.168.209.199,6,66,8000,44138,0x0011,128,,,,
1748590608.290769000,192.168.209.199,192.168.209.48,6,74,44152,8000,0x0002,64,,,,
1748590608.290825000,192.168.209.48,192.168.209.199,6,74,8000,44152,0x0012,128,,,,
1748590608.294577000,192.168.209.199,192.168.209.48,6,66,44138,8000,0x0010,64,,,,
1748590608.299609000,192.168.209.199,192.168.209.48,6,66,44152,8000,0x0010,64,,,,
1748590608.299653000,192.168.209.199,192.168.209.48,6,284,44152,8000,0x0018,64,,,,
1748590608.299810000,192.168.209.199,192.168.209.48,6,112,44152,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.299836000,192.168.209.48,192.168.209.199,6,66,8000,44152,0x0010,128,,,,
1748590608.307069000,192.168.209.48,192.168.209.199,6,201,8000,44152,0x0018,128,,,,
1748590608.310790000,192.168.209.199,192.168.209.48,6,66,44152,8000,0x0010,64,,,,
1748590608.310820000,192.168.209.48,192.168.209.199,6,107,8000,44152,0x0018,128,,/login,,
1748590608.321718000,192.168.209.199,192.168.209.48,6,66,44152,8000,0x0010,64,,,,
1748590608.323057000,192.168.209.199,192.168.209.48,6,66,44146,8000,0x0011,64,,,,
1748590608.323125000,192.168.209.48,192.168.209.199,6,66,8000,44146,0x0010,128,,,,
1748590608.323297000,192.168.209.48,192.168.209.199,6,66,8000,44146,0x0011,128,,,,
1748590608.324801000,192.168.209.199,192.168.209.48,6,74,44160,8000,0x0002,64,,,,
1748590608.324899000,192.168.209.48,192.168.209.199,6,74,8000,44160,0x0012,128,,,,
1748590608.330127000,192.168.209.199,192.168.209.48,6,66,44146,8000,0x0010,64,,,,
1748590608.331357000,192.168.209.199,192.168.209.48,6,66,44160,8000,0x0010,64,,,,
1748590608.331398000,192.168.209.199,192.168.209.48,6,284,44160,8000,0x0018,64,,,,
1748590608.331563000,192.168.209.199,192.168.209.48,6,114,44160,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.331579000,192.168.209.48,192.168.209.199,6,66,8000,44160,0x0010,128,,,,
1748590608.342374000,192.168.209.48,192.168.209.199,6,201,8000,44160,0x0018,128,,,,
1748590608.346551000,192.168.209.199,192.168.209.48,6,66,44160,8000,0x0010,64,,,,
1748590608.346574000,192.168.209.48,192.168.209.199,6,107,8000,44160,0x0018,128,,/login,,
1748590608.353228000,192.168.209.199,192.168.209.48,6,66,44160,8000,0x0010,64,,,,
1748590608.356375000,192.168.209.199,192.168.209.48,6,66,44152,8000,0x0011,64,,,,
1748590608.356447000,192.168.209.48,192.168.209.199,6,66,8000,44152,0x0010,128,,,,
1748590608.356782000,192.168.209.48,192.168.209.199,6,66,8000,44152,0x0011,128,,,,
1748590608.360540000,192.168.209.199,192.168.209.48,6,74,44162,8000,0x0002,64,,,,
1748590608.360633000,192.168.209.48,192.168.209.199,6,74,8000,44162,0x0012,128,,,,
1748590608.361870000,192.168.209.199,192.168.209.48,6,66,44152,8000,0x0010,64,,,,
1748590608.366189000,192.168.209.199,192.168.209.48,6,66,44162,8000,0x0010,64,,,,
1748590608.367324000,192.168.209.199,192.168.209.48,6,284,44162,8000,0x0018,64,,,,
1748590608.368178000,192.168.209.199,192.168.209.48,6,112,44162,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.368214000,192.168.209.48,192.168.209.199,6,66,8000,44162,0x0010,128,,,,
1748590608.379124000,192.168.209.48,192.168.209.199,6,201,8000,44162,0x0018,128,,,,
1748590608.393694000,192.168.209.199,192.168.209.48,6,66,44162,8000,0x0010,64,,,,
1748590608.393735000,192.168.209.48,192.168.209.199,6,107,8000,44162,0x0018,128,,/login,,
1748590608.398872000,192.168.209.199,192.168.209.48,6,66,44162,8000,0x0010,64,,,,
1748590608.400275000,192.168.209.199,192.168.209.48,6,66,44160,8000,0x0011,64,,,,
1748590608.400373000,192.168.209.48,192.168.209.199,6,66,8000,44160,0x0010,128,,,,
1748590608.401089000,192.168.209.48,192.168.209.199,6,66,8000,44160,0x0011,128,,,,
1748590608.408813000,192.168.209.199,192.168.209.48,6,74,44178,8000,0x0002,64,,,,
1748590608.408813000,192.168.209.199,192.168.209.48,6,66,44160,8000,0x0010,64,,,,
1748590608.408950000,192.168.209.48,192.168.209.199,6,74,8000,44178,0x0012,128,,,,
1748590608.413237000,192.168.209.199,192.168.209.48,6,66,44178,8000,0x0010,64,,,,
